car,move
M,1
M,-1
B,1
A,1
M,1
G,-1
E,1
B,-1
K,-1
M,-1
I,-1
I,-1
M,1
M,-1
A,-1
I,1
G,1
A,1
M,1
M,1
A,-1
K,1
S,-1
B,1
M,-1
R,1
G,-1
M,1
A,-1
S,-1
S,-1
A,1
M,-1
M,-1
R,-1
A,-1
A,1
I,1
B,1
R,1
B,-1
B,1
A,1
A,-1
G,1
G,-1
A,-1
B,-1
R,-1
I,-1
I,1
E,-1
A,1
R,1
E,1
M,1
S,1
B,-1
S,1
E,-1
A,1
B,1
K,-1
K,1
G,1
R,-1
S,-1
T,-1
S,1
M,1
A,-1
T,1
R,1
A,1
S,-1
M,-1
R,-1
R,1
G,-1
B,-1
M,1
R,-1
E,1
G,1
T,-1
I,-1
S,1
A,-1
I,1
S,-1
E,-1
T,1
S,1
K,-1
M,-1
G,-1
M,1
R,1
K,1
M,-1
A,1
E,1
R,-1
K,-1
M,1
M,-1
S,1
M,-1
G,1
E,-1
A,-1
G,-1
K,1
E,1
A,1
E,-1
E,1
K,-1
K,1
K,-1
I,-1
I,1
B,1
B,1
G,1
G,-1
G,1
G,-1
K,1
A,-1
M,1
S,-1
S,1
K,-1
S,-1
K,1
R,1
R,-1
B,-1
K,-1
R,1
M,1
I,-1
A,-1
A,1
A,1
M,-1
B,-1
I,-1
G,1
X,-1
N,-1
G,-1
A,-1
G,1
G,-1
K,1
N,1
G,1
K,-1
X,1
R,-1
S,1
G,-1
A,1
K,1
G,1
G,-1
S,-1
A,-1
G,1
S,1
K,-1
M,1
G,-1
M,-1
X,-1
M,1
M,-1
G,1
G,-1
K,1
K,-1
M,1
K,1
A,1
G,1
A,-1
N,-1
K,-1
G,-1
K,1
S,-1
R,1
M,-1
R,-1
S,1
G,1
N,1
X,1
A,1
K,-1
K,1
A,-1
A,1
X,-1
X,1
S,-1
K,-1
I,1
M,1
I,-1
M,-1
X,-1
K,1
K,-1
S,1
X,1
S,-1
G,-1
A,-1
G,1
M,1
G,-1
X,-1
X,1
X,-1
R,1
K,1
G,1
M,-1
X,1
A,1
I,1
M,1
B,1
K,-1
I,1
E,-1
A,-1
A,1
G,-1
A,-1
A,1
G,1
M,-1
B,-1
R,-1
K,1
M,1
M,-1
T,-1
B,1
M,1
K,-1
T,1
E,1
A,-1
A,-1
T,-1
A,1
B,1
G,-1
A,-1
A,1
U,-1
G,1
K,1
A,1
S,-1
M,-1
M,1
M,-1
P,1
K,1
G,-1
G,1
S,1
B,-1
K,-1
E,-1
P,-1
S,-1
B,-1
A,-1
S,-1
M,-1
P,1
P,-1
G,-1
U,1
B,1
A,1
M,1
G,1
B,-1
T,1
B,1
S,1
S,1
S,1
M,-1
B,-1
K,-1
M,1
M,-1
M,1
M,1
S,-1
R,1
M,-1
B,1
M,1
G,-1
E,1
G,1
M,-1
B,-1
E,-1
R,-1
M,1
S,1
K,1
M,-1
E,1
M,1
S,-1
A,-1
A,1
I,-1
G,-1
I,1
S,-1
E,-1
B,1
T,-1
U,-1
S,1
G,1
M,-1
B,-1
U,1
E,1
T,1
A,-1
M,1
I,-1
S,-1
T,-1
T,1
S,1
S,1
S,-1
S,-1
S,-1
T,-1
A,1
S,-1
I,-1
S,1
X,-1
A,-1
S,1
S,-1
A,1
S,-1
T,1
K,-1
A,-1
T,-1
K,1
X,1
T,1
A,1
A,-1
A,1
I,1
I,1
S,-1
S,1
S,1
G,-1
B,1
I,-1
M,-1
M,-1
R,1
I,1
G,1
I,-1
R,-1
S,-1
I,1
S,-1
A,-1
K,-1
M,1
R,1
M,-1
A,1
K,1
E,-1
S,1
A,-1
B,-1
A,1
K,-1
A,-1
A,1
K,1
S,-1
K,-1
S,1
M,1
A,-1
E,1
M,-1
B,1
E,-1
A,1
M,1
E,1
E,-1
B,-1
K,1
R,-1
M,-1
A,-1
B,1
T,-1
K,-1
A,1
S,-1
M,1
B,-1
B,1
S,1
E,1
A,-1
A,1
T,1
I,-1
B,-1
K,1
I,-1
M,-1
S,1
T,-1
A,-1
T,1
M,1
S,-1
R,1
M,1
M,-1
I,1
A,1
R,-1
I,1
I,-1
S,-1
M,-1
R,1
M,1
M,1
S,1
B,1
B,-1
A,-1
I,-1
S,1
R,-1
A,1
X,-1
M,-1
A,-1
T,-1
G,-1
M,-1
G,1
S,-1
U,-1
U,1
S,1
N,-1
T,1
R,1
A,1
A,-1
M,1
N,1
S,1
G,-1
R,-1
N,-1
T,-1
N,1
N,-1
T,1
N,1
M,1
G,1
G,-1
X,1
R,1
G,1
A,1
X,-1
N,-1
S,1
S,-1
R,-1
A,-1
S,1
S,-1
S,1
R,1
M,-1
K,-1
K,1
R,-1
T,-1
U,-1
G,-1
S,-1
U,1
G,1
S,1
T,1
S,-1
S,1
A,1
S,-1
S,1
R,1
G,-1
M,1
M,-1
A,-1
G,1
N,1
M,1
S,-1
S,-1
G,-1
X,1
I,1
A,1
R,-1
A,-1
R,1
I,1
M,-1
R,-1
M,-1
E,-1
G,1
R,1
M,1
S,1
R,-1
M,1
E,1
S,-1
E,-1
G,-1
B,1
E,1
B,-1
T,-1
A,1
B,1
I,-1
A,-1
I,1
A,1
E,-1
U,-1
E,1
S,1
S,1
P,1
A,-1
P,-1
M,-1
G,1
K,-1
M,1
G,-1
E,-1
K,1
M,-1
M,1
S,-1
U,1
G,1
S,-1
T,1
G,-1
A,1
T,-1
T,1
E,1
