car,move
AG,1
AL,-1
AA,1
AA,1
P,1
AA,-1
AL,1
AH,1
AF,-1
AB,-1
AJ,-1
AD,1
P,1
AD,-1
AE,1
AA,-1
AE,-1
AG,-1
AP,-1
AG,-1
AO,1
AE,-1
AG,1
J,1
P,-1
AL,-1
AM,-1
J,1
AC,-1
AF,1
AE,1
AK,-1
J,-1
AM,1
AK,1
AO,-1
P,1
AQ,-1
AO,1
AF,-1
AC,1
AD,1
AC,-1
H,1
AO,-1
AL,1
AF,1
AA,-1
AO,1
AQ,1
AA,1
H,-1
O,1
H,-1
AG,1
G,-1
H,-1
AL,-1
P,-1
AC,1
H,1
AO,-1
AC,-1
AL,1
AA,-1
N,-1
J,1
AL,-1
AM,-1
AP,1
U,-1
J,1
AC,-1
H,1
AA,1
O,-1
H,1
AC,1
L,1
P,-1
AC,-1
K,1
H,-1
O,1
AJ,1
H,1
K,-1
AC,1
AC,1
P,1
U,1
AM,1
AL,1
O,-1
AC,-1
U,-1
AG,-1
P,-1
U,1
N,1
AQ,-1
AK,-1
AL,-1
P,1
L,-1
J,-1
AH,1
AQ,1
AH,-1
AM,-1
F,1
AM,1
AH,1
O,1
AG,1
AK,1
H,-1
AJ,-1
AG,-1
E,1
AJ,1
J,1
AJ,-1
AC,-1
H,-1
AC,1
AP,-1
AD,-1
AG,1
C,1
L,1
AK,-1
AI,-1
H,1
F,1
AC,-1
AK,1
AP,1
L,-1
E,1
AG,-1
AD,1
H,1
AA,-1
P,-1
AI,-1
AC,-1
AG,1
AK,-1
AB,1
AJ,1
AK,1
AJ,-1
AG,-1
AI,-1
AJ,1
F,1
N,-1
L,1
AD,-1
E,-1
AK,-1
AE,-1
AQ,-1
P,1
K,1
AJ,-1
AB,-1
N,1
P,-1
AQ,-1
AJ,1
N,-1
AC,1
K,-1
AQ,1
E,1
AA,1
AQ,1
AC,1
AG,1
R,-1
K,1
X,-1
AI,1
AJ,-1
R,-1
AA,1
AI,1
AC,-1
AI,1
AH,-1
M,-1
AR,-1
X,1
U,-1
P,1
U,1
AM,-1
AE,1
AH,-1
M,1
K,-1
AH,1
M,-1
C,-1
K,1
M,1
AP,-1
U,-1
X,-1
R,-1
AE,-1
AR,1
AM,1
R,1
AE,1
AA,-1
AP,1
AJ,1
AG,-1
AD,1
U,1
AH,1
R,-1
P,-1
K,-1
AQ,-1
AI,-1
M,1
AQ,-1
L,-1
AQ,1
AD,-1
AC,1
R,1
L,1
K,1
R,-1
AQ,1
W,-1
AQ,-1
R,1
V,1
AI,-1
AC,-1
C,1
P,1
C,-1
AE,-1
AK,1
AI,1
AE,1
AA,-1
AI,-1
AC,-1
K,-1
AD,1
AI,-1
