car,move
J,-1
J,-1
T,-1
G,-1
N,-1
U,-1
T,-1
N,1
T,1
G,-1
J,1
K,-1
G,-1
N,-1
E,1
T,-1
M,1
S,-1
Q,-1
G,-1
S,1
A,1
U,1
A,1
J,1
G,1
M,-1
S,-1
Q,1
J,-1
G,-1
A,-1
T,1
S,1
A,-1
J,1
S,-1
T,1
A,1
O,-1
S,1
A,1
K,1
O,1
M,1
K,-1
J,-1
K,1
T,-1
K,-1
A,-1
T,1
A,-1
T,-1
S,-1
G,1
U,-1
M,-1
A,1
S,1
T,-1
U,1
M,1
K,1
Q,-1
J,-1
M,-1
U,-1
J,1
A,1
Q,1
J,1
M,1
G,-1
M,-1
U,1
N,1
J,-1
A,-1
N,-1
M,1
A,-1
M,-1
T,1
G,1
J,1
N,1
G,-1
A,1
U,-1
T,-1
Q,-1
U,1
A,-1
E,-1
K,-1
G,1
T,-1
K,-1
N,-1
U,-1
O,-1
K,-1
K,-1
G,1
K,1
O,1
S,-1
Q,1
N,1
G,1
T,-1
S,1
T,1
Q,-1
G,-1
K,-1
T,-1
T,-1
Q,1
U,1
G,1
J,-1
Q,-1
J,-1
G,1
J,1
U,-1
G,-1
S,-1
K,1
S,1
N,-1
O,-1
Q,1
O,1
N,1
K,1
G,1
S,-1
U,1
Q,-1
S,-1
T,-1
J,1
T,1
G,-1
T,1
G,-1
Q,1
T,1
T,1
U,-1
G,1
T,-1
Q,-1
G,-1
G,-1
T,1
Q,1
S,1
T,-1
S,1
K,1
K,1
U,1
Q,-1
G,1
Q,1
T,1
K,-1
J,-1
N,-1
J,1
U,-1
G,1
T,-1
N,1
K,1
G,1
T,-1
K,-1
Q,-1
G,-1
K,1
G,1
T,-1
J,-1
E,1
K,-1
U,1
S,-1
Q,1
K,-1
A,1
Q,-1
S,-1
U,-1
K,-1
S,1
U,-1
A,-1
K,-1
J,1
S,-1
J,-1
T,-1
U,1
J,-1
T,1
U,1
E,1
U,-1
Q,-1
T,-1
K,1
Q,1
Q,1
S,1
T,1
U,-1
E,-1
S,-1
U,1
T,-1
U,1
Q,-1
E,-1
S,1
E,1
U,-1
A,1
A,1
T,1
S,-1
E,1
U,-1
A,-1
E,1
K,-1
T,-1
U,1
K,1
Q,-1
U,1
L,1
F,-1
F,-1
L,-1
A,1
T,-1
U,-1
T,1
L,1
U,1
F,1
K,-1
L,-1
T,1
F,-1
B,1
A,1
T,-1
A,-1
K,-1
F,1
T,1
A,-1
U,-1
B,-1
Q,1
S,1
Q,1
U,-1
B,1
T,-1
U,1
U,1
S,-1
U,-1
U,-1
B,-1
A,1
T,-1
F,-1
Q,-1
F,-1
B,1
F,-1
B,-1
E,-1
Q,1
S,1
U,1
S,-1
E,-1
J,1
B,1
U,1
A,1
J,1
F,1
U,-1
Q,-1
F,-1
Q,-1
U,1
L,1
A,-1
F,1
K,1
S,-1
J,-1
A,1
S,1
K,1
S,-1
J,1
U,-1
J,-1
A,-1
S,1
L,-1
B,-1
S,-1
J,1
Q,1
B,1
A,1
K,-1
J,-1
K,-1
S,-1
U,1
F,-1
Q,1
A,-1
F,1
S,-1
J,-1
E,1
U,-1
E,1
Q,-1
U,-1
B,-1
E,-1
Q,1
U,1
Q,-1
Q,-1
U,-1
B,1
L,1
E,-1
L,1
B,-1
M,-1
M,-1
E,1
B,1
M,-1
V,-1
E,-1
J,1
L,-1
V,1
L,-1
A,1
S,1
U,1
J,1
V,-1
V,-1
L,1
S,-1
R,-1
J,-1
U,-1
J,1
L,1
R,-1
L,-1
A,-1
U,1
L,-1
U,1
R,-1
N,1
N,1
U,-1
B,-1
S,1
J,-1
U,-1
S,1
N,-1
U,1
N,1
X,-1
X,-1
K,1
H,1
U,1
H,1
K,-1
B,1
U,1
A,1
F,-1
C,1
I,-1
P,-1
A,1
S,-1
P,-1
W,-1
S,1
U,-1
E,-1
W,-1
U,1
G,-1
S,-1
I,-1
W,1
G,-1
I,-1
N,-1
F,1
P,1
C,1
P,-1
K,1
W,1
O,1
U,-1
U,-1
U,-1
D,-1
H,1
X,1
X,1
P,-1
X,1
