Steps,Time,,Steps,Time,,Steps,Time,,Steps,Time,,Steps,Time,,Steps,Time,,Steps,Time
19271,0,,34250,0,,7867,0,,10696,0,,36982,0,,34994,0,,6783,0
6268,1,,9523,1,,6377,4,,9907,2,,34312,1,,32239,3,,5509,0.48
5295,3,,9456,2,,4554,7,,8617,4,,31198,5,,29215,4,,4703,1.31
4451,14,,6313,4,,4535,8,,8585,8,,19009,9,,25314,6,,3659,1.93
3436,20,,5610,8,,1116,12,,8170,11,,2688,9,,22568,7,,3470,2.07
3340,26,,4657,12,,1044,12,,8154,11,,2635,20,,18477,11,,3226,11.47
3325,27,,4586,12,,652,13,,5445,15,,1259,32,,6690,12,,2793,12.82
2887,34,,3621,12,,580,13,,4577,24,,1249,32,,5879,12,,2721,12.91
1241,36,,3499,12,,320,14,,4460,30,,1092,34,,4020,12,,1926,13.03
1195,39,,2935,22,,299,15,,3793,31,,1086,43,,3658,15,,1890,13.46
1105,49,,2809,29,,288,28,,2351,33,,596,60,,3263,25,,1807,13.52
1058,50,,2769,34,,286,28,,1521,58,,497,60,,2894,37,,1798,13.61
1004,52,,2297,35,,281,29,,850,63,,492,104,,2265,41,,1780,17.5
964,63,,2075,41,,275,29,,771,92,,424,108,,2091,43,,933,32.33
929,70,,983,48,,241,31,,569,93,,419,120,,1206,46,,924,32.36
864,75,,894,49,,206,31,,565,105,,418,120,,997,62,,885,47.45
861,75,,891,103,,178,31,,546,111,,415,128,,616,72,,844,83.75
859,75,,859,112,,172,35,,491,111,,378,135,,598,73,,631,127.34
848,95,,839,170,,158,44,,467,160,,377,135,,596,75,,620,127.36
831,125,,721,175,,142,45,,448,161,,349,138,,593,75,,488,154.39
583,126,,698,198,,136,45,,443,174,,328,156,,547,88,,487,173.28
543,129,,652,230,,125,47,,440,202,,324,170,,285,89,,426,175.15
542,135,,645,379,,117,80,,439,209,,321,173,,281,103,,425,182.06
518,147,,570,380,,115,135,,438,211,,319,200,,275,120,,415,189.02
502,172,,559,533,,114,328,,434,466,,318,227,,271,135,,410,189.87
388,193,,460,574,,113,350,,433,470,,316,233,,265,165,,348,205.51
374,193,,451,574,,112,413,,432,922,,313,254,,262,273,,338,205.82
293,193,,426,591,,111,469,,287,931,,306,306,,255,355,,334,206.46
229,198,,409,591,,110,469,,232,940,,302,1216,,254,487,,322,250.55
163,199,,406,595,,108,471,,228,969,,298,1235,,251,528,,310,287.42
151,201,,382,596,,103,479,,210,1015,,277,1238,,250,943,,294,318.85
149,203,,380,608,,102,479,,205,1025,,268,1238,,248,1000,,292,617.16
137,205,,370,612,,98,740,,196,1062,,257,1244,,247,1181,,290,619.86
135,209,,356,612,,,,,195,1144,,255,1247,,246,1828,,268,1741.74
133,216,,352,741,,,,,194,1198,,249,1247,,245,3133,,265,1741.75
98,219,,351,769,,,,,187,1284,,228,1262,,206,3787,,220,1743.54
94,219,,333,770,,,,,181,1507,,222,1269,,187,3792,,189,1755.78
83,220,,332,793,,,,,173,1516,,216,1274,,172,3793,,181,1760.93
82,222,,328,901,,,,,170,1521,,214,1276,,153,3798,,175,1763.37
80,225,,323,936,,,,,169,1524,,210,1287,,149,3799,,174,1768.52
79,225,,209,941,,,,,168,1524,,170,1299,,144,3799,,164,1784.37
78,233,,183,942,,,,,162,1524,,165,1299,,132,3799,,162,1798.94
76,246,,177,950,,,,,158,1524,,146,1299,,129,3805,,161,1867.22
74,247,,170,953,,,,,155,1529,,133,1299,,117,3816,,159,1877.86
73,247,,166,961,,,,,153,1554,,132,1299,,114,3816,,158,2194.66
72,261,,159,1022,,,,,147,1556,,124,1302,,113,3826,,150,3206.2
71,373,,136,1022,,,,,146,1563,,116,1333,,111,3828,,148,3276.93
68,423,,131,1024,,,,,143,1651,,113,1335,,103,3831,,146,3402.33
,,,128,1027,,,,,142,1742,,112,1337,,98,3844,,145,3541.77
,,,126,1041,,,,,139,1966,,111,1347,,96,3852,,,
,,,125,1240,,,,,138,2012,,108,1350,,94,3858,,,
,,,121,1480,,,,,137,2013,,107,1366,,93,3945,,,
,,,120,1558,,,,,136,2318,,106,1385,,92,4032,,,
,,,119,1572,,,,,131,4421,,104,1396,,,,,,
,,,117,1583,,,,,129,4458,,102,1405,,,,,,
,,,116,3787,,,,,127,4692,,100,1409,,,,,,
,,,,,,,,,124,4721,,99,1498,,,,,,
,,,,,,,,,,,,97,1533,,,,,,
