car,move
M,1
G,-1
S,-1
T,-1
M,1
S,-1
G,1
M,-1
E,1
T,1
M,1
S,1
M,-1
A,1
T,-1
E,-1
A,-1
K,-1
B,1
A,1
T,1
S,1
E,1
B,1
A,-1
A,-1
B,-1
F,-1
I,-1
K,1
J,-1
S,-1
G,-1
T,-1
M,1
G,1
J,1
U,-1
K,-1
G,-1
P,1
F,1
M,-1
P,-1
F,-1
I,1
G,-1
U,1
T,1
S,1
E,-1
M,1
G,-1
D,1
D,1
S,-1
C,-1
K,1
M,-1
H,-1
S,-1
H,1
T,-1
U,-1
S,-1
M,-1
U,1
T,1
R,1
M,1
R,-1
M,1
C,1
D,-1
T,-1
U,-1
D,1
S,1
P,1
S,1
K,1
D,1
C,-1
C,-1
M,-1
H,-1
M,1
D,1
H,-1
G,1
E,1
G,1
G,1
D,1
C,1
E,1
B,1
E,1
G,1
S,-1
E,-1
C,-1
D,-1
C,1
B,-1
E,1
S,-1
I,-1
D,1
E,1
F,1
A,1
S,1
C,-1
A,-1
F,-1
D,-1
C,1
I,1
F,1
C,-1
B,1
S,1
B,-1
D,1
A,1
B,1
C,1
B,-1
A,1
S,-1
A,1
B,-1
S,-1
C,-1
I,-1
S,1
I,-1
X,-1
N,-1
A,-1
N,-1
N,-1
N,-1
A,-1
C,1
D,-1
L,1
D,1
Q,-1
X,1
A,1
C,-1
X,-1
A,-1
X,1
Q,1
S,1
A,1
Q,-1
A,-1
Q,-1
R,-1
O,1
J,1
X,-1
S,-1
X,1
Q,-1
L,-1
D,-1
L,1
F,1
S,-1
F,-1
C,1
S,1
A,1
Q,1
Q,1
A,-1
F,1
S,1
F,-1
A,1
C,-1
Q,-1
I,1
A,-1
I,-1
C,1
S,-1
X,1
X,1
A,1
S,1
D,1
I,1
A,-1
S,-1
B,1
N,1
A,-1
N,1
D,-1
S,1
F,-1
C,-1
F,1
S,-1
A,1
C,1
Q,1
I,1
S,1
N,-1
N,-1
C,-1
N,1
A,-1
N,1
B,1
F,-1
E,-1
D,1
C,1
G,-1
N,-1
X,1
S,-1
B,-1
N,-1
G,1
J,-1
B,1
O,-1
B,-1
T,-1
I,-1
C,-1
S,1
E,1
J,-1
N,1
T,1
S,-1
R,1
J,1
Q,1
E,-1
X,1
X,1
X,1
