car,move
E,1
T,-1
A,1
T,1
J,-1
T,-1
K,-1
A,1
K,-1
T,-1
Q,-1
J,1
T,-1
K,-1
T,1
Q,1
T,1
J,-1
S,-1
T,-1
Q,-1
U,-1
S,1
K,-1
J,-1
K,-1
A,-1
J,1
A,1
Q,1
U,1
J,1
Q,-1
T,-1
U,-1
T,-1
U,1
Q,1
U,-1
A,-1
Q,-1
U,1
Q,1
K,1
U,-1
Q,-1
K,1
K,1
S,-1
T,-1
Q,1
A,1
S,-1
J,-1
U,-1
A,-1
Q,-1
Q,-1
K,-1
L,1
U,1
J,1
U,1
T,1
A,-1
U,-1
K,-1
T,1
S,-1
L,-1
U,1
A,1
S,1
U,-1
K,1
A,1
L,1
S,-1
T,-1
L,-1
U,-1
L,1
K,-1
L,1
S,1
T,1
T,1
L,-1
K,1
U,1
J,-1
L,-1
S,-1
A,-1
L,1
A,-1
U,-1
A,1
K,-1
A,1
K,-1
S,1
J,1
A,-1
J,-1
L,1
M,-1
V,-1
J,1
S,-1
T,-1
K,1
K,1
M,-1
M,-1
L,-1
K,-1
K,-1
L,1
V,-1
T,-1
T,-1
T,-1
M,1
A,1
S,-1
J,-1
K,1
V,-1
R,-1
S,1
T,1
R,-1
K,-1
V,1
R,1
T,-1
S,-1
R,-1
T,1
M,-1
L,-1
J,1
L,1
S,1
T,1
K,1
M,1
T,1
S,-1
M,-1
A,-1
T,-1
A,-1
S,1
L,-1
L,-1
E,-1
K,1
G,-1
R,-1
T,-1
G,1
J,-1
N,1
N,1
V,-1
X,-1
K,-1
N,-1
G,-1
N,1
G,-1
U,1
T,-1
N,-1
X,1
U,-1
G,1
N,1
T,1
V,1
G,-1
J,1
T,-1
S,-1
X,-1
U,1
J,-1
X,1
U,-1
N,-1
J,1
G,-1
E,1
X,-1
N,1
A,1
J,-1
X,-1
K,-1
S,-1
J,-1
N,-1
U,1
J,1
U,1
U,1
A,1
N,1
U,-1
H,1
U,-1
H,1
N,-1
J,-1
N,1
T,-1
F,1
I,-1
X,-1
I,-1
F,-1
C,1
I,-1
H,-1
N,-1
C,-1
N,1
U,1
N,-1
H,-1
N,-1
H,1
F,1
U,1
T,1
U,-1
A,-1
U,1
N,1
U,1
P,-1
H,1
N,-1
P,1
F,-1
C,1
N,1
U,1
X,1
J,1
H,-1
P,-1
H,1
P,-1
C,-1
I,1
J,-1
O,1
H,1
P,1
H,-1
E,1
A,1
E,-1
O,-1
I,-1
C,1
U,1
A,-1
U,-1
O,1
P,-1
X,-1
I,1
N,-1
U,1
I,-1
C,1
P,1
A,1
N,1
N,1
A,-1
O,-1
P,1
X,1
E,1
P,-1
N,-1
O,1
D,-1
E,-1
X,-1
D,1
P,-1
D,-1
P,-1
N,1
H,1
P,1
H,1
X,1
N,-1
X,1
P,-1
U,-1
X,1
X,1
